Date;Time;Severity;From;Line;Message
2019/02/12;16:21:45.925;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:47.920;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:49.926;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:51.924;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:53.860;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;16:21:53.974;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:54.092;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;16:21:55.078;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;16:21:55.192;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;16:21:55.275;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;16:21:55.971;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:57.977;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:21:59.979;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:01.984;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:04.088;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:04.973;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;16:22:05.086;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;16:22:06.080;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:06.096;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;16:22:06.191;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;16:22:06.314;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;16:22:08.109;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:10.114;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:12.109;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:14.114;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:15.078;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;16:22:16.102;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;16:22:16.116;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:17.011;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;16:22:17.194;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;16:22:17.317;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;16:22:18.213;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:20.242;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:22.237;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:24.242;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:26.186;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;16:22:26.239;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:27.094;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;16:22:28.038;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;16:22:28.191;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;16:22:28.244;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;16:22:28.319;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
