Date;Time;Severity;From;Line;Message
2019/02/12;15:14:42.191;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:43.695;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.1:65000): C,C03"
2019/02/12;15:14:43.708;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/12;15:14:43.794;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.3:65000): C,C03"
2019/02/12;15:14:43.812;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/12;15:14:44.189;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:46.004;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/12;15:14:46.296;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:48.313;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:49.010;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;15:14:49.023;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;15:14:49.109;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;15:14:49.642;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;15:14:50.306;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:52.312;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:53.086;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;15:14:54.310;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:55.998;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/12;15:14:56.340;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:14:58.349;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:00.028;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;15:15:00.042;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;15:15:00.115;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;15:15:00.348;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:00.643;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;15:15:02.446;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:04.093;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;15:15:04.453;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:06.000;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/12;15:15:06.455;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:08.455;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:10.460;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:11.054;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;15:15:11.068;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;15:15:11.112;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;15:15:11.646;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;15:15:12.587;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:14.590;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:15.106;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;15:15:15.999;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/12;15:15:16.591;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:18.589;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:20.688;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:22.005;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;15:15:22.098;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;15:15:22.151;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;15:15:22.646;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;15:15:22.698;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:24.695;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:25.999;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/12;15:15:26.014;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;15:15:26.701;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:28.735;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:30.741;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:32.745;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:33.049;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;15:15:33.082;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;15:15:33.156;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;15:15:33.651;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
2019/02/12;15:15:34.757;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:36.015;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/12;15:15:36.756;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:37.030;INFO;web-app-server.cpp;75;"(12588)=>WebAppServer. TICK"
2019/02/12;15:15:38.854;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:40.859;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:42.889;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/12;15:15:43.695;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.1:65000): C,C03"
2019/02/12;15:15:43.709;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/12;15:15:43.795;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.3:65000): C,C03"
2019/02/12;15:15:43.809;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/12;15:15:44.095;INFO;his-proc.cpp;82;"(11112)=>HistClient. TICK"
2019/02/12;15:15:44.108;INFO;cfg-proc.cpp;269;"(8580)=>JsonClientProc. TICK"
2019/02/12;15:15:44.221;INFO;file-supervisor.cpp;111;"(13056)=>FileSupervisor. TICK"
2019/02/12;15:15:44.655;INFO;man-proc.cpp;89;"(12348)=>ManProc. TICK"
